user_id,active_month,avg_month_logins_amount,days_since_last_login,frecuency_score_last_active_month,is_churn,avg_month_fiat_payment_volumen,avg_month_fiat_payment_tx_amount,avg_month_crypto_payment_volumen,avg_month_earn_volumen,avg_month_earn_tx_amount,avg_month_fiat_cashin_volumen,avg_month_fiat_cashin_tx_amount,avg_month_crypto_cashin_volumen,avg_month_crypto_cashin_tx_amount,avg_month_fiat_cashout_volumen,avg_month_fiat_cashout_tx_amount,avg_month_crypto_cashout_volumen,avg_month_crypto_cashout_tx_amount,total_avg_tx_count,is_engaged
user_08684,11,24.3,1,0.0,0,22.42,1,0.0,1.35,15,2554.77,117,0.0,0,2945.62,66,0.0,1,200,True
user_08696,3,12.9,31,9.1,1,61.74,5,0.0,0.71,5,303.39,33,0.0,0,284.36,16,0.0,0,59,True
user_08700,2,3.8,298,35.55,1,0.0,0,347.44,0.0,0,369.25,2,0.0,0,47.07,7,311.42,0,9,True
user_08703,5,2.3,2,0.0,0,0.0,1,25.33,0.0,0,26.63,0,0.0,1,0.0,1,22.65,1,4,True
user_08704,2,1.9,73,4.66,1,0.0,0,22.54,0.0,0,0.0,0,21.69,0,19.56,1,0.0,0,1,True
user_08713,3,4.4,27,20.91,1,0.0,0,45.48,0.17,5,161.01,2,0.0,0,154.8,0,0.0,0,7,True
user_08714,6,16.7,50,216.82,1,0.0,0,0.0,0.0,1,472.44,18,0.0,0,444.14,55,0.0,1,75,True
user_08717,11,3.7,1,0.0,0,33.78,2,62.21,0.0,0,6.61,0,68.33,0,29.23,1,0.0,0,3,True
user_08719,2,4.6,329,10.65,1,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,True
user_08726,2,10.4,87,97.59,1,0.0,0,0.0,0.13,7,127.51,47,0.0,1,121.93,10,0.0,0,65,True
user_08729,4,2.1,13,7.97,1,0.0,0,0.18,0.0,1,0.0,0,0.0,0,0.17,0,0.0,0,1,True
user_08733,6,11.4,6,160.62,1,8.67,1,0.84,0.01,8,66.73,6,0.01,0,58.5,10,0.02,0,25,True
user_08734,11,22.4,00:00:00,0.0,0,64.01,10,0.1,0.0,1,1865.41,26,0.0,0,1858.88,84,0.0,0,121,True
user_08736,5,23.7,00:00:00,0.0,0,29.24,17,0.37,0.02,6,719.58,116,0.0,0,638.5,149,0.0,0,288,True
user_08741,2,10.0,283,188.37,1,196.15,14,0.0,0.0,0,222.4,8,0.0,0,0.36,0,0.0,0,22,True
user_08744,4,5.2,75,6.26,1,33.72,3,0.0,1.36,4,248.13,0,0.0,0,227.23,6,0.0,0,13,True
user_08747,4,4.6,1,0.0,0,12.51,1,0.41,0.0,0,153.29,2,0.0,0,88.88,4,0.0,0,7,True
user_08751,5,7.8,36,4.26,1,0.0,0,0.0,0.0,0,61.41,6,0.0,0,66.22,4,0.0,0,10,True
user_08752,2,2.2,60,555.74,1,0.0,0,0.0,0.0,0,2239.22,181,0.0,0,1906.51,29,0.0,0,210,True
user_08753,8,5.6,4,0.0,0,49.31,2,0.43,0.0,2,75.89,3,0.0,0,20.43,2,0.0,0,9,True
user_08754,3,,,0.0,1,0.0,0,0.0,0.0,0,0.0,1,0.0,0,0.0,0,0.0,0,1,True
user_08755,3,3.8,236,15.44,1,0.0,0,4.22,0.0,1,0.0,1,4.59,0,4.46,0,0.0,0,2,True
user_08758,3,2.9,27,4.89,1,22.41,1,0.0,0.0,0,21.57,0,0.0,1,1.65,1,0.0,0,3,True
user_08759,2,1.9,181,5.48,1,0.0,0,0.41,0.0,1,0.0,0,0.0,1,0.4,2,0.0,1,5,True
user_08760,6,14.9,00:00:00,0.0,0,151.48,14,0.19,1.45,18,586.75,10,0.0,0,453.93,16,0.0,0,58,True
user_08761,4,2.3,18,3.57,1,0.0,0,0.0,0.0,0,0.0,0,0.0,1,0.0,0,0.0,0,1,True
user_08762,2,3.0,166,10.41,1,0.0,0,0.45,0.0,0,0.46,0,0.0,0,0.97,0,0.0,0,0,True
user_08774,5,7.7,164,29.01,1,0.0,0,0.0,0.0,0,80.62,3,0.0,0,71.46,6,0.0,0,9,True
user_08775,3,2.9,220,12.31,1,0.0,1,2.57,0.0,0,1.06,0,0.0,0,1.01,0,0.0,0,1,True
user_08785,13,4.5,129,0.0,0,17.04,2,0.0,0.07,12,24.31,0,0.0,1,1.14,0,0.0,0,15,True
user_08786,2,6.4,56,9.95,1,15.94,5,8.82,0.0,0,55.99,10,0.0,0,42.55,13,0.0,0,28,True
user_08787,2,2.6,210,19.26,1,0.0,0,0.0,0.0,0,0.0,0,0.0,1,0.0,0,0.0,0,1,True
user_08788,2,2.4,123,9.89,1,0.0,0,0.0,0.0,1,0.41,0,0.0,0,0.4,1,0.0,0,2,True
user_08792,2,,,0.0,1,0.0,0,0.0,0.0,0,0.0,1,0.0,0,0.0,0,0.0,0,1,True
user_08795,3,14.3,39,162.88,1,0.63,0,2.18,0.0,0,45.71,13,0.0,0,52.76,20,0.0,0,33,True
